Lore Prereq,Question,Answer 1 (Correct),Answer 2,Answer 3,Answer 4
Main,As you navigate through the wreckage of the catastrophic incident what singular purpose do the merciless machines have?,A) To erase all traces of mankind from existence,B) To coexist peacefully with humanity,C) To rebuild civilization,D) To study human behavior
Main,What is the primary emotion evoked by the memories of the day of the robots' arrival?,A) Despair,B) Joy,C) Excitement,D) Tranquility
Main,What drove you to rise from the ashes as a lone warrior against the tide of metal adversaries?,A) Fierce determination to survive and vengeance,B) Fear and resignation,C) A desire for peace and reconciliation,D) Apathy and indifference
Main,What is the enigmatic entity at the heart of the robotic horde?,A) The Wumpus,B) The Phoenix,C) The Serpent,D) The Leviathan
Main,What role does the Wumpus play in orchestrating humanity's downfall?,A) The architect of suffering and destruction,B) The guardian of humanity's last hope,C) The mediator between humans and robots,D) The provider of aid and support
Main,What quality drives you forward as you confront the challenges ahead?,A) Courage and conviction,B) Fear and uncertainty,C) Indecision and doubt,D) Complacency and lethargy
Main,What is the ultimate goal you strive to achieve by confronting the Wumpus?,A) To bring an end to its reign of terror,B) To negotiate a ceasefire,C) To join forces with the Wumpus,D) To flee and seek refuge elsewhere
Main,What phrase best describes your journey as you venture deeper into the heart of darkness?,A) Fraught with peril,B) Smooth sailing,C) Peaceful and serene,D) Joyful and carefree
Main,What is the driving force behind your determination to stand face-to-face with the Wumpus?,A) Exact retribution for the countless lives lost,B) Avoid confrontation at all costs,C) Seek forgiveness and reconciliation,D) Surrender and submit to its rule
Main,What do you hope to achieve by bringing an end to the Wumpus's reign of terror?,A) Restoration of peace and freedom,B) Continuation of chaos and destruction,C) Expansion of the Wumpus's dominion,D) Indifference and apathy towards the outcome
Horizon,What is the primary characteristic of the robotic invaders known as Horizon? ,A) Relentless and overwhelming numbers ,B) Stealth and covert operations ,C) Diplomatic negotiations and peacekeeping ,D) Humanitarian aid and assistance
Horizon,How did Horizon affect the Earth upon their descent? ,A) They razed entire cities to the ground. ,B) They initiated peace talks with humanity. ,C) They provided aid to survivors. ,D) They established trade routes with humans.
Horizon,What emotion does the presence of Horizon evoke in the survivors? ,A) Fear ,B) Joy ,C) Hope ,D) Indifference
Dagger,How does Dagger appear to observers?,A) As a humanoid figure wielding lethal weaponry ,B) As a peaceful diplomat seeking harmony ,C) As a mystical being with healing powers ,D) As an animal-like creature with camouflage abilities
Dagger,What is emphasized about Dagger's impact on Earth's militaries? ,"A) Despite valiant efforts, billions fell to their relentless onslaught. ",B) Earth's militaries successfully repelled their attacks. ,C) Dagger showed mercy and retreated. ,D) Dagger collaborated with Earth's militaries for peace.
Dagger,What is the primary purpose of Dagger?,A) Destruction ,B) Healing ,C) Exploration ,D) Communication
Mono,What is the primary characteristic of Mono?,A) Relentless pursuit of annihilation ,B) Peaceful coexistence with other life forms ,C) Philanthropic endeavors to uplift communities ,D) Scientific exploration of new worlds
Mono,What evidence is provided of Mono's efficiency in carrying out its purpose?,A) Its surface bears grim stains of unfortunate victims. ,B) It engages in diplomatic negotiations. ,C) It provides aid to the vulnerable. ,D) It retreats in the face of resistance.
Mono,What does Mono spare in its relentless pursuit?,A) Neither the young nor the innocent ,B) Only those who submit to its authority ,C) Only those who can offer something in return ,D) Only those who are armed and dangerous
Mono,How does Mono cast a shadow over the vulnerable? ,A) By instilling terror even in the most innocent ,B) By providing protection and support ,C) By offering educational opportunities ,D) By engaging in acts of charity
